Test: Spec_Benchmark/089.su2cor.din; Assoc: 8; Mean Energy: 0.002153134955; StdDev Energy: 0.0; Mean Time: 530811.5; StdDev Time: 0.0
Test: Spec_Benchmark/090.hydro2d.din; Assoc: 2; Mean Energy: 0.00240406047; StdDev Energy: 2.870372868438102e-06; Mean Time: 566640.95; StdDev Time: 365.2739006553849
Test: Spec_Benchmark/090.hydro2d.din; Assoc: 4; Mean Energy: 0.002379079474; StdDev Energy: 2.8087075921550963e-06; Mean Time: 563184.95; StdDev Time: 509.17037669133896
Test: Spec_Benchmark/090.hydro2d.din; Assoc: 8; Mean Energy: 0.002379694781; StdDev Energy: 5.890808099665394e-06; Mean Time: 564310.4; StdDev Time: 827.1675706892771
Test: Spec_Benchmark/093.nasa7.din; Assoc: 2; Mean Energy: 0.002116683287; StdDev Energy: 7.950864618743228e-07; Mean Time: 522851.0; StdDev Time: 0.0
Test: Spec_Benchmark/093.nasa7.din; Assoc: 4; Mean Energy: 0.002112614087; StdDev Energy: 2.7665240272945166e-07; Mean Time: 522851.0; StdDev Time: 0.0
Test: Spec_Benchmark/093.nasa7.din; Assoc: 8; Mean Energy: 0.002110850767; StdDev Energy: 1.015036815884861e-07; Mean Time: 522851.0; StdDev Time: 0.0
Test: Spec_Benchmark/094.fpppp.din; Assoc: 2; Mean Energy: 0.0023728961249999993; StdDev Energy: 1.9785795376835554e-06; Mean Time: 579941.6; StdDev Time: 328.4926026564373
Test: Spec_Benchmark/094.fpppp.din; Assoc: 4; Mean Energy: 0.002339806219; StdDev Energy: 5.325135521880476e-07; Mean Time: 576058.1; StdDev Time: 68.44735203059355
Test: Spec_Benchmark/094.fpppp.din; Assoc: 8; Mean Energy: 0.0023387104250000004; StdDev Energy: 4.336808689942018e-19; Mean Time: 575987.0; StdDev Time: 0.0
